PSM,TrainStation,University,Airport,Departmentstore,Hospital,Subdistrict,District,TotalUnits,BuildingAge,CarPark,CCTV,Fitness,Library,Swimmingpool,Security,MiniMart,ElectricalSubStation
70264,0.2,3.7,16.32907429,0.3,1.2,Bang Khae,Bang Kapi,267,14,1,1,1,0,1,1,0,0
52992,0.8,3.8,16.32907429,0.9,1.3,Bang Khae,Bang Khae,420,5,0,1,1,0,1,1,0,0
56100,1.536896235,2.209948409,16.32907429,1.3,1.876157941,Bang Khae,Bang Khae,1039,7,0,1,1,0,1,1,0,0
80566,0.5,2.209948409,16.32907429,0.1,1,Bang Khae Nuea,Bang Khae,645,6,1,1,1,0,1,1,1,0
53226,1.4,4.4,16.32907429,1.3,0.2,Bang Khae Nuea,Bang Khae,811,10,1,1,1,0,1,1,1,0
65497.5,0.7,2.3,5.9,0.9,2.7,Anusawari,Bang Khen,73,10,0,1,1,0,1,1,0,0
60922.25,0.2,0.4,5.1,0.2,1.876157941,Anusawari,Bang Khen,1568,16,1,1,1,0,0,1,0,0
82286,0.1,0.4,5.3,0.2,2,Anusawari,Bang Khen,516,14,0,1,1,1,0,1,1,0
60606,0.4,0.6,4.5,0.2,1.5,Anusawari,Bang Khen,274,10,1,1,1,0,1,1,0,0
87083,0.1,0.9,4.1,0.2,1.1,Anusawari,Bang Khen,246,6,0,1,1,1,0,1,0,0
70263,1.536896235,2,7.6,2,1.876157941,Anusawari,Bang Khen,444,7,1,1,1,0,0,1,0,0
56118.5,0.5,4.5,8.2,0.5,1.876157941,Tha Raeng,Bang Khen,825,12,0,1,1,0,1,1,1,0
77866,0.2,2.1,6.4,0.4,1.876157941,Anusawari,Bang Khen,266,8,0,1,1,0,1,1,0,0
53387.75,0.5,1.9,6.3,0.6,3,Anusawari,Bang Khen,1035,10,0,1,1,0,0,1,1,0
15152,1.536896235,2.209948409,16.32907429,1.726724437,1.876157941,Talat Bang Khen,Don Mueang,469.7599049,12,0,0,1,0,1,1,1,0
60000,0.3,0.7,4.6,0.6,1.8,Anusawari,Bang Khen,1490,9,0,1,1,0,0,1,1,0
57308,0.8,2,6.7,0.8,1.876157941,Anusawari,Bang Khen,532,10,0,0,1,0,0,0,1,0
100163.25,0.1,1.4,3.4,0.4,0.2,Anusawari,Bang Khen,820,4,0,1,1,1,0,1,0,0
105755.7,0.5,0.7,4.4,0.2,1.4,Anusawari,Bang Khen,726,5,1,1,1,0,0,0,0,0
63755.25,0.3,2.209948409,9,0.9,1.876157941,Tha Raeng,Bang Khen,1168,9,1,1,0,0,1,1,0,0
76471,1.536896235,1.1,3.2,0.2,0.1,Anusawari,Bang Khen,150,10,1,1,1,0,1,1,0,0
57955,0.7,1.9,16.32907429,1.4,0.1,Bang Kho Laem,Bang Kho Laem,244,15,0,1,1,0,1,1,0,0
187774.4167,1.536896235,1,16.32907429,1.8,1.8,Wat Phraya Krai,Bang Kho Laem,294,8,0,1,1,0,0,0,0,0
153084,1,0.5,16.32907429,1.1,1.5,Wat Phraya Krai,Bang Kho Laem,260,18,0,1,0,0,1,1,0,0
